time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1455.0,wp_4,1.0,,,,wc_6,0.0,"[('wc_6', 0.3), ('wc_1', 0.53), ('wc_4', 0.48)]",0.82892,['Pass'],,,36.0,0.007261,1.0,6.0,-0.13333333333333333,0.3,0.2
1492.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
1460.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,36.0,0.004235,3.0,6.0,-0.030000000000000027,0.53,0.4
1497.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1491.0,wp_3,2.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Pass'],,,26.0,0.008049,5.0,5.0,0.30000000000000004,0.7,0.8
1518.0,wp_3,2.0,,,,,,,,,,0.0,,,,,,,
1493.0,wp_4,1.0,,,,wc_7,1.0,"[('wc_7', 0.85), ('wc_1', 0.53), ('wc_4', 0.48), ('wc_6', 0.3)]",0.974338,['Pass'],,,26.0,0.044127,1.0,3.0,-0.5166666666666666,0.85,0.9
1521.0,wp_4,4.0,,,,,,,,,,321.0,,,,,,,
1498.0,wp_1,1.0,,,,wc_3,0.0,"[('wc_3', 0.39), ('wc_1', 0.53)]",0.7133,['Fail'],,,32.0,0.005934999999999999,3.0,6.0,0.10999999999999999,0.39,0.3
1531.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1519.0,wp_3,2.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_2', 0.7)]",0.844,['Pass'],,,33.0,0.006659,3.0,6.0,0.020000000000000018,0.48,0.4
1553.0,wp_3,2.0,,,,,,,,,,61.0,,,,,,,
1532.0,wp_1,1.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_1', 0.53), ('wc_3', 0.39)]",0.934059,['Fail'],,,22.0,0.04051,3.0,7.0,-0.34142857142857147,0.77,0.8
1556.0,wp_1,1.0,,,,,,,,,,41.0,,,,,,,
1544.0,wp_2,3.0,wc_3,"{'Pass': 86, 'Fail': 14}",['Pass'],,,,,,65.0,,,,,,,,
1610.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
1610.0,wp_5,3.0,,,,,,,,,,83.0,,,,,,,
1611.0,wp_2,3.0,,,,wc_3,0.0,"[('wc_3', 0.39)]",0.39,['Pass'],,,36.0,0.002381,4.0,7.0,0.18142857142857138,0.39,0.3
1648.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
1649.0,wp_2,3.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_3', 0.39)]",0.6828000000000001,['Pass'],,,22.0,0.004403,3.0,7.0,-0.051428571428571435,0.48,0.4
1672.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
1654.0,wp_3,2.0,,,,wc_1,0.0,"[('wc_2', 0.7), ('wc_4', 0.48)]",0.844,['Pass'],,,38.0,0.007049,5.0,8.0,0.09499999999999997,0.53,0.4
1636.0,wp_1,1.0,wc_1,"{'Pass': 41, 'Fail': 59}",['Fail'],,,,,,57.0,,,,,,,,
1693.0,wp_3,2.0,,,,,,,,,,0.0,,,,,,,
1694.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1673.0,wp_2,3.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_3', 0.39), ('wc_4', 0.48)]",0.927044,['Pass'],,,33.0,0.036187,4.0,8.0,-0.27,0.77,0.8
1708.0,wp_2,2.0,,,,,,,,,,61.0,,,,,,,
1695.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,21.0,0.002459,5.0,9.0,0.025555555555555554,0.53,0.4
1717.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1718.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Fail'],,,34.0,0.008204,5.0,8.0,-0.07499999999999996,0.7,0.8
